Packages,Investment Amount ,Investment usdt,ROI,Referral Bonus,Dollar Exchange Rate,Estimated usdt
Etherium,3000,5.39,300,200,0.001795,5.39
Litcoin,5000,8.98,500,400,0.001795,8.98
Cardano,10000,17.95,1000,500,0.001795,17.95
Bitcoin,15000,26.93,1500,1000,0.001795,26.93
Stellar,20000,35.9,2000,1200,0.001795,35.9
Kucoin,40000,71.8,4000,1800,0.001795,71.8
Apecoin,60000,107.7,6000,2200,0.001795,107.7
Hedera,80000,143.6,8000,2700,0.001795,143.6
XRP,100000,179.5,10000,3500,0.001795,179.5
Vechain,200000,359,20000,4000,0.001795,359
Monero,400000,718,40000,5000,0.001795,718
Dogecoin,500000,897.5,50000,5500,0.001795,897.5
iCOIN,1000000,1795,1000000,10000,0.001795,1795
